EVAL_TIME,EVAL_SYS_ID,COMPARING_SCORE,SCORE_PROCESS
2021-상반기,ES001,절대적 점수 비교,100점 환산
2021-상반기,ES010,절대적 점수 비교,100점 환산
2021-하반기,ES001,평균-표준편차방식,등급화
2021-하반기,ES007,평균-표준편차방식,등급화
2022-상반기,ES001,평균-표준편차방식,등급화
2022-상반기,ES005,평균-표준편차방식,등급화
2022-상반기,ES010,절대적 점수 비교,100점 환산
2022-하반기,ES001,평균-표준편차방식,등급화
2022-하반기,ES008,평균-표준편차방식,등급화
2023-상반기,ES002,절대적 점수 비교,100점 환산
2023-상반기,ES003,절대적 점수 비교,100점 환산
2023-상반기,ES009,파이분배방식,100점 환산
2023-하반기,ES002,절대적 점수 비교,100점 환산
2023-하반기,ES003,절대적 점수 비교,100점 환산
2023-하반기,ES009,파이분배방식,100점 환산
2024-상반기,ES002,절대적 점수 비교,100점 환산
2024-상반기,ES003,절대적 점수 비교,100점 환산
2024-상반기,ES009,파이분배방식,100점 환산
2024-하반기,ES002,절대적 점수 비교,100점 환산
2024-하반기,ES003,절대적 점수 비교,100점 환산
2024-하반기,ES009,파이분배방식,100점 환산
2025-상반기,ES002,절대적 점수 비교,100점 환산
2025-상반기,ES003,절대적 점수 비교,100점 환산
2025-상반기,ES009,파이분배방식,100점 환산
